tweetid,timestamp,printname,screenname,verified,body,quotescreenname,quotetext,likes,retweets
1125056080327979009,11:14 AM - 5 May 2019,Netflix MENA,NetflixMENA,True,"برلين يطلب، وباسل يلبّي النداء!
#الكاتب يعرض يوميًا في رمضان على نتفليكس 
@daniellarahme @BasselKhayyat @eaglefilmsprod
#باسل_خياط #دانييلا_رحمة #رامي_حنا pic.twitter.com/0Fs0iJCjne",,,396,73
1126535773229080577,1:13 PM - 9 May 2019,Netflix MENA,NetflixMENA,True,بصراحة اللقيمات تستحق هذه النظرة  pic.twitter.com/CmkuaVdCMT,,,559,195
1113007572477513728,5:17 AM - 2 Apr 2019,🍃,WildPhotoss,True,"المسلسل الوثائقي 'كوكبنا' قادم على نتفلكس @NetflixMENA في الخامس من إبريل الحالي، بصوت الرائع السير ديفيد أتنبورو منتج سلسلة كوكب الأرض والكوكب الأزرق وغيرها من وثائقيات الطبيعة!
الإعلان الترويجي: هذه قصّة كوكبنا المتغيّر وما الذي يمكننا فعله لمساعدته! pic.twitter.com/3Izc7CzyLi",,,495,113
1119582047838834688,8:42 AM - 20 Apr 2019,Netflix MENA,NetflixMENA,True,"احنا  هون  بمدرسة 
#جن #JINNNetflix pic.twitter.com/BVBihyHJZr",,,332,49
1127564974149259264,9:23 AM - 12 May 2019,Netflix MENA,NetflixMENA,True,"أفكار ما بعد الأذان 
#TheHauntingOfHillHouse pic.twitter.com/CxOAcs1XyY",,,98,25
1122489454789365760,9:15 AM - 28 Apr 2019,Netflix MENA,NetflixMENA,True,الخيانة العظمى: إنك تشوف الفيلم اللي أنتظره من شهور قبلي ولا تنتظرني أشوفه معاك.,,,526,165
1127425504896868353,12:09 AM - 12 May 2019,Я,vxrrnd,True,"توي خلصت التحفة الفنية هذي، مسلسل قصير ١٠ حلقات بس أبدعووا والممثلين أول مره أشوفهم بس فنانين! كنت أحسبه حق ناس مبسوطين وضحك وطلع العكس تمامًا. 
أنتظر الجزء الثااني pic.twitter.com/Ogm6xFJ9QP",,,1878,46
1125340211108511744,6:03 AM - 6 May 2019,Netflix MENA,NetflixMENA,True,"هذي #سعاد_عبد_الله وهذي #شجون_الهاجري و #أنا_عندي_نص
يومياً في رمضان. pic.twitter.com/h6h7EXyoMq",,,352,83
1120345029145452548,11:14 AM - 22 Apr 2019,Netflix MENA,NetflixMENA,True,"إذا أحد قال: أقدر ألحق على المنهج ليلة الاختبار.
#OurPlanet pic.twitter.com/GThO8NFnxf",,,450,253
1113079034097926144,10:01 AM - 2 Apr 2019,Netflix MENA,NetflixMENA,True,"لسه عندي أخبار رهيبة... 
السوبر فاميلي راجعين لكم بموسم ثاني. #UmbrellaAcademy pic.twitter.com/1PwViBcn4H",,,547,108
1125459862283067392,,Netflix MENA,NetflixMENA,False,"رمضان على Netflix 
اربع مسلسلات تعرض يومياً 
 #الكاتب 
#انا_عندي_نص 
 #حضن_الشوك 
#ماذا_لو 
تعرض الحلقات يومياً
٥ بتوقيت مصر 
٦ بتوقيت السعودية 
٧ بتوقيت الإمارات  
وكل عام وأنتم بخير",,,219,38
1112626198969024514,4:02 AM - 1 Apr 2019,Netflix MENA,NetflixMENA,True,من كم يوم وأنا أفكر كيف أوصف هاللحظة بس بالنهاية الصورة بألف كلمة...والصورتين بألفين. جِنّ، أول مسلسل أصلي عربي من Netflix قادم في صيف 2019  #جن #JINNNetflix pic.twitter.com/mhQHmRVSkF,,,3251,529
1117655410524205057,1:06 AM - 15 Apr 2019,Netflix MENA,NetflixMENA,True,والله أبغى أتكلم معاكم عن الحلقة لكن أستحي.,,,2787,1505
1114455584315772928,5:11 AM - 6 Apr 2019,ثيرسدي الحوسني,ThursdayHosani,True,مسلسل Crime Diaries: The Candidate من انتاج @NetflixMENA مبني على قصة حقيقة في المكسيك لاغتيال المرشح الرئاسي لويس دونالد ، مسلسل شفت له اول 3 حلقات جداً رائع ويستحق المشاهدة ، ع فكرة اللهجة الاسبانيه بالمسلسلات لها مره خاصه  pic.twitter.com/WyTY0yjINv,,,1043,50
1117084055533707264,11:16 AM - 13 Apr 2019,Netflix MENA,NetflixMENA,True,مين المحقق المفضل عندكم من كل مسلسلات الجرائم اللي شفتوها؟ pic.twitter.com/Y5TwrMveBd,,,470,28
1114484345929117702,7:05 AM - 6 Apr 2019,Netflix MENA,NetflixMENA,True,"إذا كان بإمكانك تأخذ شخص واحد، واحد فقط، إلى جزيرة مهجورة... مين بيكون؟
فيلم بطولة Maria Pedraza و Jaime Lorente يعرض في 12 أبريل pic.twitter.com/To3LdIwhqU",,,739,70
1123576403432177664,9:14 AM - 1 May 2019,Netflix MENA,NetflixMENA,True,جدول ما بعد الإختبارات. pic.twitter.com/UplMlZ7w2a,,,1560,126
1123203724183314432,8:33 AM - 30 Apr 2019,Netflix MENA,NetflixMENA,True,نزول حلقات جديدة من مسلسلك وانت مشغول لا يعني انك تترك أشغالك وتشوفه في نفس اليوم... شوفه بكرى، بعده، بعد شهر، عادي متى ما فضيت احنا جالسين.,,,664,115
1114563192569593856,12:19 PM - 6 Apr 2019,Netflix MENA,NetflixMENA,True,المسلسل الحلو عندك ممكن مو حلو عند غيرك، والفيلم الأسطوري عند غيرك ممكن عادي عندك، مانقدر نصير كلنا إنت.,,,1909,1253
1118141017084104704,9:16 AM - 16 Apr 2019,Netflix MENA,NetflixMENA,True,قول لي إيش اختبارك، وأقولك على إيش تتفرج في بريك المذاكرة ,,,599,60
1128728080531509250,2:25 PM - 15 May 2019,Netflix MENA,NetflixMENA,True,"أول مرة مع #باسل_خياط ... #الكاتب يومياً في رمضان
@BasselKhayyat
 
@eaglefilmsprod

#باسل_خياط  #رامي_حنا pic.twitter.com/u9LgLXTTiW",,,78,13
1121781856268115973,,م. أحمد الزرعوني🇦🇪,Aazarouni,False,"من كم يوم و انا اتابع برنامج ثقافي عن الأرض في نت فلكس

مشاهد اول مره اشوفها في حياتي!

تصوير و إنتاج و حتى الحيوانات و الطيور اول مره اشوفهم

هل معناته نتفلكس بتقضي على قنوات دسكوفري و ناشونال جيوغرافيك وربعهم",,,2,2
1113488188989943808,1:07 PM - 3 Apr 2019,Netflix MENA,NetflixMENA,True,"          
          

موسم 2 من ⁦#TheRain⁩ يعرض في 17 مايو",,,894,146
1129020280481943557,9:46 AM - 16 May 2019,Netflix MENA,NetflixMENA,True,"فين وصلنا لحد الآن في ""أنا عندي نص""؟
أسماء شخصية محبوبة من الكل ماعدا أخوانها، ووصديقتها بالسكن نور شخصية مجنونة، نكتشف بعدين إن نور تحاول تهرب من الواقع بالنوم وأسماء تحاول تساعدها تطلع من الاكتئاب. أخو أسماء يكتشف إنها تكتب قصص ويحاول يدخلها عالم المسلسلات، هل بتعجبهم نصوصها؟ pic.twitter.com/Xm1nkLXtZ2",,,84,6
1112410036297494528,1:43 PM - 31 Mar 2019,Netflix MENA,NetflixMENA,True,ماذا تشاهد هذا المساء؟ https://twitter.com/zahrani054112/status/1111279337301528577 …,zahrani054112,البيت واحلئ سهره مع مسلسلي المفضل  #عطنا_مكان_جميل_في_الويكند,66,4
1119978925684400129,10:59 AM - 21 Apr 2019,Netflix MENA,NetflixMENA,True,"الحالة الاجتماعية: 

 متزوج

 أعزب

 منتظر موسم 3 من #البروفيسور",,,1008,567
1126183359682629632,1:53 PM - 8 May 2019,Alia,aliasaud,True,"جميل وغريب مسلسل الكاتب. اجتمع تمثيل باسل خياط و دانيلا مع تأليف ريم حنا واخراج رامي حنا بخصوصية كبيرة. اللي شدّني انو المشاهد ضايعة بين ضو المسرح وعتمة السينما، وتكوينها فعلا اعطى حس الرواية. بانتظار المزيد لقرر! حضور عربي قوي على @NetflixMENA
@BasselKhayyat
@daniellarahme",,,39,8
1124245697006534656,5:33 AM - 3 May 2019,Khaled | خالد,kyeslam,True,"سلسلة وثائقيات Street Food من نتفليكس قد تكون احد اجمل وثائقيات الأطعمة التي شاهدتها مؤخرًا..
السرد، التصوير، الألوان والموسيقى..جميعها تأخذك حول كشك الطعام لكل دولة..

انصح بمشاهدتها  pic.twitter.com/eHy7CzEVBt",,,2493,192
1118846711261216769,8:00 AM - 18 Apr 2019,Netflix MENA,NetflixMENA,True,"*بعيد الفيديو 13 مرة في اليوم لحد 13 يونيو*
#جن #JINNNetflix pic.twitter.com/n89QVJ0Nnz",,,3768,603
