tweetid,convoid,timestamp,printname,screenname,verified,mentions,cards,body,lang,links,likes,retweets
1125057302032191488,1125056080327979009,1557069538,فرغل - Farghl,mahmoudafarghl,False,NetflixMENA daniellarahme BasselKhayyat EagleFilmsProd,False,"موساز جراسياس نيتفليكس .. لسه بقول إن غياب باسل كان هيكون مؤثر
حتى لو المسلسل مقتبس بالحرف من لا كازا دي بابل، باسل هيحط لمسته الخاصة وهيعمل دور فريد كعادته 
شكرا شكرا",ar,,3,
1125067056439812097,1125056080327979009,1557071863,Netflix MENA,NetflixMENA,False,mahmoudafarghl daniellarahme BasselKhayyat EagleFilmsProd,False,مو مقتبس من LCDP.. حينزل و تتفرج و تعرف بنفسك! ,ar,,5,
1125318184486174720,1125056080327979009,1557131737,ZarZoora,zarzoora_ku,False,NetflixMENA daniellarahme BasselKhayyat EagleFilmsProd,False,متى راح نلاقيه على الابليكيشن؟,ar,,,
1125327402123628545,1125056080327979009,1557133934,Netflix MENA,NetflixMENA,False,zarzoora_ku daniellarahme BasselKhayyat EagleFilmsProd,False,حينزل كل يوم حلقة الساعة 6 بتوقيت السعودية ,ar,,5,
1125327658051674112,1125056080327979009,1557133995,ZarZoora,zarzoora_ku,False,NetflixMENA daniellarahme BasselKhayyat EagleFilmsProd,False,شكرا شكرا,ar,,,
1125065054272065537,1125056080327979009,1557071386,Christie,kristyssam,False,NetflixMENA daniellarahme BasselKhayyat EagleFilmsProd,False,Eywa netflixxxx ,en,,,
1125066541211496448,1125056080327979009,1557071740,Netflix MENA,NetflixMENA,False,kristyssam daniellarahme BasselKhayyat EagleFilmsProd,False,7amaaaas! ,es,,2,1
1125067506283163648,1125056080327979009,1557071970,نسر العرب,bhcve4q93M4DdvT,False,NetflixMENA daniellarahme BasselKhayyat EagleFilmsProd,true,نستنا على نار المسلسل  pic.twitter.com/6iZLcPT7qI,ar,https://t.co/6iZLcPT7qI,5,
1125079716485005312,1125056080327979009,1557074882,Netflix MENA,NetflixMENA,False,bhcve4q93M4DdvT daniellarahme BasselKhayyat EagleFilmsProd,False,هو ذا الحماس يا نسر العرب! ,ar,,1,
1125212641285300224,1125056080327979009,1557106573,أدولف ..,imoha___7,False,NetflixMENA bhcve4q93M4DdvT daniellarahme BasselKhayyat EagleFilmsProd,False,"وشرايكم تنزلون
Justifid
The Americans
Panshee
The handmaid’s tale
Fear The Walking Dead
Oz
the good behavior
Hell on wheels",en,,1,
1125058285781098497,1125056080327979009,1557069772,Adham  A.T.A,adhamharazeen,False,NetflixMENA daniellarahme BasselKhayyat EagleFilmsProd SajaElian13,False,@SajaElian13  زاكي كتير الاعلام,ar,/SajaElian13,2,
